ESF;UC;centroid (lat);centroid (long);distance (km)
estadual;ESTAÇÃO ECOLÓGICA DO RIO PRETO;-10,97466979;-44,98557021;8,224992758
estadual;ESTAÇÃO ECOLÓGICA DO GUARAGUAÇU;-25,61976357;-48,50515706;3,589064578
estadual;RESERVA BIOLÔGICA DO SÃO DONATO;-28,98274716;-56,18896987;7,577973883
estadual;ESTAÇÃO ECOLÓGICA DO GRÌO PARç;0,99210271;-56,8190376;290,4308859
estadual;PARQUE ESTADUAL DO JARAGUç;-23,46311574;-46,76617742;1,782846586
estadual;MONUMENTO NATURAL ESTADUAL SERRA DO GAMBç;-20,58815831;-44,07527263;2,16958417
estadual;MONUMENTO NATURAL ESTADUAL VçRZEA DO LAGEADO E SERRA DO RAIO;-18,46007309;-43,47045751;4,087903157
estadual;PARQUE ESTADUAL DO TURVO;-27,2079606;-53,91884453;15,0312516
estadual;PARQUE ESTADUAL DE PARAòNA;-16,98350366;-50,65613433;6,250460234
estadual;PARQUE ESTADUAL RIO PRETO;-18,16507507;-43,3471849;10,80877058
estadual;PARQUE ESTADUAL DO FORNO GRANDE;-20,52277442;-41,10237077;2,336311827
estadual;PARQUE ESTADUAL DO RIO DA ONÇA;-25,78938182;-48,53324201;0,892229336
estadual;PARQUE ESTADUAL DOM OSîRIO STOFFEL;-16,59697647;-54,75573433;9,047578685
estadual;ESTAÇÃO ECOLÓGICA DE PARANAPANEMA;-23,5123895;-48,75684097;2,311209624
estadual;PARQUE ESTADUAL DO PRELADO;-24,5797218;-47,28494755;4,380748639
estadual;PARQUE ESTADUAL DO ARAGUAIAA;-12,27964261;-50,7842399;58,72232956
estadual;PARQUE ESTADUAL LAGAMAR DE CANANEIA;-25,07836955;-48,11739217;23,54035258
estadual;PARQUE ESTADUAL DAS CARNAòBAS;-3,24354856;-41,09949243;17,59531468
estadual;RESERVA BIOLÓGICA RIO OURO PRETO;-10,91842901;-64,63815947;33,22020546
estadual;MONUMENTO NATURAL ESTADUAL DE SANTO ANTïNIO;-19,5048867;-43,98300806;0,661453873
estadual;PARQUE ESTADUAL DA ARA;-23,01550767;-47,06633843;1,211193236
estadual;PARQUE ESTADUAL ALTAMIRO DE MOURA PACHECO;-16,5323013;-49,14337393;5,128613915
estadual;ESTAÇÃO ECOLÓGICA VALINHOS;-22,96222814;-47,01499484;0,366147968
estadual;ESTAÇÃO ECOLÓGICA ESTADUAL DE GUAXINDIBA;-21,40143729;-41,08567491;6,485327309
estadual;PARQUE ESTADUAL VERDE GRANDE;-14,74844716;-43,81908028;21,62001776
estadual;PARQUE ESTADUAL GUARIBA;-8,70761441;-60,68686973;20,92144084
estadual;ESTAÇÃO ECOLÓGICA SAMUEL;-8,93340291;-63,09536895;32,65970618
