country;major area;minor area;centroid (lat);centroid (long);distance (km)
Argentina;Entre Ríos;Islas del Ibicuy;-33,60889252;-58,97542512;71,53776317
Argentina;Entre Ríos;La Paz;-30,87915375;-59,49235629;74,40228771
Argentina;Entre Ríos;Nogoyá;-32,2022466;-59,78141676;54,4258298
Argentina;Entre Ríos;Paraná;-31,68840481;-60,05164704;59,43203058
Argentina;Entre Ríos;Tala;-32,30929431;-59,27925738;46,37138427
Argentina;Entre Ríos;Uruguay;-32,43938027;-58,58695087;78,1410292
Argentina;Entre Ríos;Victoria;-32,77054719;-60,22478759;64,94948045
Argentina;Entre Ríos;Villaguay;-31,61907588;-59,027642;67,57501551
Argentina;Formosa;Bermejo;-24,03003313;-61,28467217;117,6479949
Argentina;Formosa;Formosa;-25,93979429;-58,37604191;61,34599668
Argentina;Formosa;Laishi;-26,46395589;-58,56359812;51,31807521
Argentina;Formosa;Matacos;-23,85538461;-62,07926481;56,8579361
Argentina;Formosa;Patiño;-24,87822433;-59,95837598;144,2926512
Argentina;Formosa;Pilagás;-25,10501348;-58,66122993;49,2362821
Argentina;Formosa;Pilcomayo;-25,37124791;-58,05816969;59,72943623
Argentina;Formosa;Pirané;-25,76535907;-59,15893407;71,09050413
Argentina;Formosa;Ramón Lista;-23,12049661;-62,14059578;76,1930483
Argentina;Jujuy;Capital;-24,0922419;-65,42112602;36,44785164
Argentina;Jujuy;Cochinoca;-22,99926205;-65,93039819;77,15173965
Argentina;Jujuy;El Carmen;-24,45369148;-65,08233094;28,03223066
Argentina;Jujuy;Humahuaca;-23,09232824;-65,38157781;55,48373743
Argentina;Jujuy;Ledesma;-23,78345236;-64,80364556;44,10082767
Argentina;Jujuy;Palpalá;-24,20706651;-65,1245162;21,96883746
Argentina;Jujuy;Rinconada;-22,62762034;-66,503599;75,18660644
Argentina;Jujuy;San Antonio;-24,34447446;-65,42432756;30,913063
Argentina;Jujuy;San Pedro;-24,29605864;-64,809184;39,28306002
Argentina;Jujuy;Santa Bárbara;-24,00988325;-64,40581278;60,70952433
Argentina;Jujuy;Santa Catalina;-22,12870972;-66,22464017;61,35986317
Argentina;Jujuy;Susques;-23,54714659;-66,69770398;76,84954341
Argentina;Jujuy;Tilcara;-23,56082505;-65,3073326;40,90706626
Argentina;Jujuy;Tumbaya;-23,76588143;-65,67251477;48,30155171
Argentina;Jujuy;Valle Grande;-23,49140878;-65,00470242;28,29415845
Argentina;Jujuy;Yavi;-22,2963196;-65,56616826;45,69360762
Argentina;La Pampa;Atreucó;-37,04040884;-63,77865087;42,74751953
